epsilon,delta,acc,best_metric,genes_selection,network,fl_strategy,sample_rate,learning_rate,fl_rounds,batches_per_round,max_grad_norm,noise_multiplier
0.19631261570355998,1e-05,0.8904672897196262,accuracy,rotterdam,lr,walk,0.1,0.75,1,1,0.5,6.0
0.20278547605545272,1e-05,0.8910280373831776,accuracy,rotterdam,lr,walk,0.1,0.5,1,1,0.5,5.0
0.20693288519792274,1e-05,0.8957009345794392,accuracy,rotterdam,lr,walk,0.1,0.5,2,1,0.5,6.0
0.20913737479366523,1e-05,0.8958878504672897,accuracy,rotterdam,lr,walk,0.1,1.0,1,1,0.5,4.5
0.21987860590170824,1e-05,0.8962616822429906,accuracy,rotterdam,lr,walk,0.1,0.5,1,2,0.5,5.0
0.22230097954573824,1e-05,0.8962616822429906,accuracy,rotterdam,lr,walk,0.1,0.75,1,1,0.5,4.0
0.2253671790298234,1e-05,0.8964485981308411,accuracy,rotterdam,lr,walk,0.1,0.5,1,3,0.5,5.5
0.22817342418664827,1e-05,0.8977570093457944,accuracy,rotterdam,lr,walk,0.1,0.5,1,4,0.5,6.0
0.2494139631753738,1e-05,0.8981308411214953,accuracy,rotterdam,lr,walk,0.1,0.5,3,2,0.5,6.0
0.3255008840903636,1e-05,0.8983177570093458,accuracy,rotterdam,lr,walk,0.1,0.5,2,3,0.5,4.5
0.37500493611127406,1e-05,0.8996261682242991,accuracy,rotterdam,lr,walk,0.1,0.5,3,6,0.5,6.0
0.4239321862320734,1e-05,0.9005607476635514,accuracy,rotterdam,lr,walk,0.1,0.5,15,1,0.5,5.0
0.4497742354582538,1e-05,0.9009345794392524,accuracy,rotterdam,lr,walk,0.1,0.75,13,1,0.5,4.5
0.4788069749963034,1e-05,0.9013084112149533,accuracy,rotterdam,lr,walk,0.1,0.75,3,5,0.5,4.5
0.5067479114523219,1e-05,0.9029906542056074,accuracy,rotterdam,lr,walk,0.1,0.5,14,2,0.5,5.5
0.5245882543899503,1e-05,0.9057943925233645,accuracy,rotterdam,lr,walk,0.1,0.5,24,1,0.5,5.0
0.5501209800896427,1e-05,0.9082242990654206,accuracy,rotterdam,lr,walk,0.1,1.0,5,3,0.5,4.0
0.5657026439067799,1e-05,0.908785046728972,accuracy,rotterdam,lr,walk,0.1,1.0,2,8,0.5,4.0
0.6238572092551637,1e-05,0.9089719626168224,accuracy,rotterdam,lr,walk,0.1,1.0,20,1,0.5,4.0
0.6545410872241533,1e-05,0.9114018691588784,accuracy,rotterdam,lr,walk,0.1,0.5,10,3,0.5,4.5
0.7178263407921204,1e-05,0.9117757009345794,accuracy,rotterdam,lr,walk,0.3,1.25,1,7,1.0,6.0
0.7312245098596684,1e-05,0.9147663551401869,accuracy,rotterdam,lr,walk,0.1,0.5,5,4,1.0,3.5
0.7621955211666803,1e-05,0.9170093457943925,accuracy,rotterdam,lr,walk,0.1,1.5,22,1,0.5,3.5
0.7921215344688879,1e-05,0.9173831775700935,accuracy,rotterdam,lr,walk,0.3,0.5,1,7,2.5,5.5
0.8055982271291646,1e-05,0.9194392523364486,accuracy,rotterdam,lr,walk,0.3,0.5,3,3,1.5,6.0
0.84144878325941,1e-05,0.922429906542056,accuracy,rotterdam,lr,walk,0.3,0.75,2,4,2.0,5.5
0.8459743656917973,1e-05,0.9237383177570093,accuracy,rotterdam,lr,walk,0.3,1.0,5,2,1.0,6.0
0.8841682367935241,1e-05,0.9239252336448598,accuracy,rotterdam,lr,walk,0.1,1.5,10,2,0.5,3
0.8880162521326496,1e-05,0.9242990654205607,accuracy,rotterdam,lr,walk,0.3,0.75,3,3,1.5,5.5
0.9212196480525177,1e-05,0.9327102803738317,accuracy,rotterdam,lr,walk,0.3,0.75,3,4,1.5,6.0
0.9895149059969266,1e-05,0.9328971962616822,accuracy,rotterdam,lr,walk,0.3,0.5,1,9,2.5,5.0
0.9904217079743449,1e-05,0.9349532710280374,accuracy,rotterdam,lr,walk,0.3,1.0,2,7,1.0,6.0
1.0146585244340112,1e-05,0.9379439252336449,accuracy,rotterdam,lr,walk,0.3,1.25,2,6,1.0,5.5
1.0235579788785267,1e-05,0.9386915887850468,accuracy,rotterdam,lr,walk,0.3,1.25,5,3,1.0,6.0
1.086255343102835,1e-05,0.9403738317757009,accuracy,rotterdam,lr,walk,0.3,0.75,17,1,1.0,6.0
1.1615993305077952,1e-05,0.942803738317757,accuracy,rotterdam,lr,walk,0.3,1.0,8,2,1,5.5
1.1740828272547459,1e-05,0.9444859813084112,accuracy,rotterdam,lr,walk,0.3,0.5,5,4,1.5,6.0
1.2292304561959837,1e-05,0.9446728971962617,accuracy,rotterdam,lr,walk,0.3,0.5,22,1,1.5,6.0
1.2443985828411805,1e-05,0.9465420560747664,accuracy,rotterdam,lr,walk,0.5,0.75,8,1,2.5,6
1.261129665699153,1e-05,0.9471028037383178,accuracy,rotterdam,lr,walk,0.3,0.5,19,1,1.5,5.5
1.2730051215549971,1e-05,0.9472897196261683,accuracy,rotterdam,lr,walk,0.3,0.75,4,3,1.5,4.5
1.282452291879666,1e-05,0.9493457943925233,accuracy,rotterdam,lr,walk,0.3,0.5,12,2,1.5,6.0
1.2918611791725754,1e-05,0.9508411214953271,accuracy,citbcmst,lr,walk,0.3,0.5,20,1,1.0,5.5
1.3528067038822655,1e-05,0.9508411214953271,accuracy,rotterdam,lr,walk,0.3,1.0,11,2,1,5.5
1.3670588792895308,1e-05,0.9519626168224299,accuracy,rotterdam,lr,walk,0.3,1.5,7,2,1,4.5
1.381590743078703,1e-05,0.9521495327102804,accuracy,rotterdam,lr,walk,0.3,0.5,23,1,1.5,5.5
1.3819228513035273,1e-05,0.9534579439252336,accuracy,rotterdam,lr,walk,0.3,1.5,28,1,0.5,6
1.4055787445086305,1e-05,0.9538317757009346,accuracy,citbcmst,lr,walk,0.3,0.75,29,1,0.5,6
1.4362616126759447,1e-05,0.9542056074766355,accuracy,rotterdam,lr,walk,0.3,1.25,5,4,1.0,5.0
1.4517283652157222,1e-05,0.9542056074766355,accuracy,rotterdam,lr,walk,0.5,1.0,11,1,1.5,6.0
1.4661284372176164,1e-05,0.9545794392523365,accuracy,rotterdam,lr,walk,0.3,0.5,26,1,1.5,5.5
1.4696982750931744,1e-05,0.9586915887850467,accuracy,citbcmst,lr,walk,0.3,1.25,21,1,0.5,5.0
1.5670502382946676,1e-05,0.9592523364485981,accuracy,rotterdam,lr,walk,0.3,0.75,24,1,1.0,5.0
1.5772836849543919,1e-05,0.959626168224299,accuracy,citbcmst,lr,walk,0.3,1.0,19,1,0.5,4.5
1.617016941061126,1e-05,0.9614953271028037,accuracy,rotterdam,lr,walk,0.3,1.25,4,5,1.0,4.5
1.6325078121793792,1e-05,0.9622429906542056,accuracy,citbcmst,lr,walk,0.5,1.5,2,7,0.5,6
1.6883970056029747,1e-05,0.9654205607476636,accuracy,rotterdam,lr,walk,0.3,0.75,14,2,1,5.0
1.7641430397266809,1e-05,0.9661682242990655,accuracy,citbcmst,lr,walk,0.3,0.75,12,2,0.5,4.5
1.7968371022204999,1e-05,0.9691588785046729,accuracy,citbcmst,lr,walk,0.5,0.75,17,1,1.0,6.0
1.8571658006312914,1e-05,0.9719626168224299,accuracy,citbcmst,lr,walk,0.5,0.5,3,5,1.5,5.5
1.9473837972074415,1e-05,0.9742056074766355,accuracy,citbcmst,lr,walk,0.5,1.5,10,2,0.5,6
2.0321093106177464,1e-05,0.9745794392523365,accuracy,citbcmst,lr,walk,0.5,0.75,2,9,1.0,5.5
2.086858184111812,1e-05,0.976822429906542,accuracy,citbcmst,lr,walk,0.5,1.25,19,1,0.5,5.5
2.1416070576058774,1e-05,0.9771962616822429,accuracy,citbcmst,lr,walk,0.5,0.5,2,10,1.0,5.5
2.2230494970941574,1e-05,0.9779439252336448,accuracy,citbcmst,lr,walk,0.5,1.0,26,1,0.5,6
2.2638236406693784,1e-05,0.9788785046728972,accuracy,citbcmst,lr,walk,0.5,1.0,27,1,0.5,6
2.3173173355477346,1e-05,0.9803738317757009,accuracy,citbcmst,lr,walk,0.5,1.25,19,1,0.5,5.0
2.344701772355897,1e-05,0.982803738317757,accuracy,citbcmst,lr,walk,0.5,1.25,12,2,0.5,5.5
2.5737558236840323,1e-05,0.9837383177570094,accuracy,citbcmst,lr,walk,0.7,0.5,5,3,1.5,5.5
2.6433764859290525,1e-05,0.9842990654205608,accuracy,citbcmst,lr,walk,0.7,1.25,19,1,0.5,6.0
2.6598707470054466,1e-05,0.9861682242990654,accuracy,citbcmst,lr,walk,0.7,1.5,8,2,0.5,5.5
2.850187353120184,1e-05,0.9861682242990654,accuracy,citbcmst,lr,walk,0.7,1.25,22,1,0.5,6.0
2.904538997434152,1e-05,0.9863551401869158,accuracy,citbcmst,lr,walk,0.7,1.25,19,1,0.5,5.5
2.9505218623298255,1e-05,0.9869158878504672,accuracy,citbcmst,lr,walk,0.7,0.5,4,4,1.5,5.0
3.044667686764342,1e-05,0.9872897196261682,accuracy,citbcmst,lr,walk,0.7,1.0,25,1,0.5,6
3.086256222788414,1e-05,0.9876635514018691,accuracy,citbcmst,lr,walk,0.9,1.0,11,1,1,5.0
3.0900287570786453,1e-05,0.9885981308411215,accuracy,citbcmst,lr,walk,0.9,0.75,8,2,1,6
3.276509593781151,1e-05,0.9889719626168224,accuracy,citbcmst,lr,walk,0.7,0.5,12,2,1,5.5
3.2874449164608315,1e-05,0.9910280373831776,accuracy,citbcmst,lr,walk,0.9,0.75,9,2,1,6
3.7157208395719215,1e-05,0.991588785046729,accuracy,citbcmst,lr,walk,0.7,1.5,4,5,0.5,4.5
4.010468490809133,1e-05,0.9919626168224299,accuracy,citbcmst,lr,walk,0.7,0.75,18,1,1.0,4.0
4.015668035219251,1e-05,0.9925233644859813,accuracy,citbcmst,lr,walk,0.9,1.5,11,2,0.5,5.5
4.451331583057621,1e-05,0.9925233644859813,accuracy,citbcmst,lr,walk,0.7,1.5,11,2,0.5,4.0
4.592605939165056,1e-05,0.9928971962616823,accuracy,citbcmst,lr,walk,0.7,1.5,15,2,0.5,4.5
4.749472818444941,1e-05,0.9930841121495327,accuracy,citbcmst,lr,walk,0.9,0.5,10,2,1.5,4.5
5.240916631735473,1e-05,0.9938317757009346,accuracy,citbcmst,lr,walk,0.7,1.25,15,2,0.5,4.0
5.879283593542611,1e-05,0.9942056074766356,accuracy,citbcmst,lr,walk,0.7,1.25,28,1,0.5,3.5
7.050848238280415,1e-05,0.9945794392523365,accuracy,citbcmst,lr,walk,0.9,0.75,18,1,1.0,3.0
7.473735335301274,1e-05,0.994766355140187,accuracy,citbcmst,lr,walk,0.9,0.5,10,2,2,3
10.225052865495904,1e-05,0.9949532710280374,accuracy,citbcmst,lr,walk,0.9,1.0,24,1,1,2.5
11.169159948348472,1e-05,0.9951401869158879,accuracy,citbcmst,lr,walk,0.9,0.75,28,1,1.5,2.5
11.430279121778444,1e-05,0.9951401869158879,accuracy,citbcmst,lr,walk,0.7,1.0,28,1,1.0,2
11.624031606276766,1e-05,0.9957009345794392,accuracy,citbcmst,lr,walk,0.9,0.5,15,2,2,2.5
21.848780857158694,1e-05,0.9958878504672897,accuracy,citbcmst,lr,walk,0.9,0.5,10,3,2,1.5
0.15917414646172054,0.0001,0.8904672897196262,accuracy,rotterdam,lr,walk,0.1,0.75,1,1,0.5,6.0
0.16564700681361327,0.0001,0.8910280373831776,accuracy,rotterdam,lr,walk,0.1,0.5,1,1,0.5,5.0
0.1697944159560833,0.0001,0.8957009345794392,accuracy,rotterdam,lr,walk,0.1,0.5,2,1,0.5,6.0
0.1719989055518258,0.0001,0.8958878504672897,accuracy,rotterdam,lr,walk,0.1,1.0,1,1,0.5,4.5
0.1827401366598688,0.0001,0.8962616822429906,accuracy,rotterdam,lr,walk,0.1,0.5,1,2,0.5,5.0
0.1851625103038988,0.0001,0.8962616822429906,accuracy,rotterdam,lr,walk,0.1,0.75,1,1,0.5,4.0
0.18822870978798395,0.0001,0.8964485981308411,accuracy,rotterdam,lr,walk,0.1,0.5,1,3,0.5,5.5
0.19103495494480882,0.0001,0.8977570093457944,accuracy,rotterdam,lr,walk,0.1,0.5,1,4,0.5,6.0
0.21227549393353434,0.0001,0.8981308411214953,accuracy,rotterdam,lr,walk,0.1,0.5,3,2,0.5,6.0
0.2850580413370643,0.0001,0.8983177570093458,accuracy,rotterdam,lr,walk,0.1,0.5,2,3,0.5,4.5
0.3326393375036033,0.0001,0.8996261682242991,accuracy,rotterdam,lr,walk,0.1,0.5,3,6,0.5,6.0
0.37494072625290853,0.0001,0.9005607476635514,accuracy,rotterdam,lr,walk,0.1,0.5,15,1,0.5,5.0
0.3968369902784151,0.0001,0.9009345794392524,accuracy,rotterdam,lr,walk,0.1,0.75,13,1,0.5,4.5
0.4229410625342115,0.0001,0.9013084112149533,accuracy,rotterdam,lr,walk,0.1,0.75,3,5,0.5,4.5
0.45014285203712967,0.0001,0.9029906542056074,accuracy,rotterdam,lr,walk,0.1,0.5,14,2,0.5,5.5
0.46525460767866506,0.0001,0.9057943925233645,accuracy,rotterdam,lr,walk,0.1,0.5,24,1,0.5,5.0
0.48506705535037786,0.0001,0.9082242990654206,accuracy,rotterdam,lr,walk,0.1,1.0,5,3,0.5,4.0
0.49908576740413096,0.0001,0.908785046728972,accuracy,rotterdam,lr,walk,0.1,1.0,2,8,0.5,4.0
0.5514100640921396,0.0001,0.9089719626168224,accuracy,rotterdam,lr,walk,0.1,1.0,20,1,0.5,4.0
0.5807061334097929,0.0001,0.9114018691588784,accuracy,rotterdam,lr,walk,0.1,0.5,10,3,0.5,4.5
0.6360520576971447,0.0001,0.9117757009345794,accuracy,rotterdam,lr,walk,0.3,1.25,1,7,1.0,6.0
0.6451169276775335,0.0001,0.9147663551401869,accuracy,rotterdam,lr,walk,0.1,0.5,5,4,1.0,3.5
0.6729520253681343,0.0001,0.9170093457943925,accuracy,rotterdam,lr,walk,0.1,1.5,22,1,0.5,3.5
0.7013394233855517,0.0001,0.9173831775700935,accuracy,rotterdam,lr,walk,0.3,0.5,1,7,2.5,5.5
0.714899997424743,0.0001,0.9194392523364486,accuracy,rotterdam,lr,walk,0.3,0.5,3,3,1.5,6.0
0.7457398838390942,0.0001,0.922429906542056,accuracy,rotterdam,lr,walk,0.3,0.75,2,4,2.0,5.5
0.7511106686704948,0.0001,0.9237383177570093,accuracy,rotterdam,lr,walk,0.3,1.0,5,2,1.0,6.0
0.7776186824249331,0.0001,0.9239252336448598,accuracy,rotterdam,lr,walk,0.1,1.5,10,2,0.5,3
0.7876096177918379,0.0001,0.9242990654205607,accuracy,rotterdam,lr,walk,0.3,0.75,3,3,1.5,5.5
0.8188463831028214,0.0001,0.9327102803738317,accuracy,rotterdam,lr,walk,0.3,0.75,3,4,1.5,6.0
0.8770767311567602,0.0001,0.9328971962616822,accuracy,rotterdam,lr,walk,0.3,0.5,1,9,2.5,5.0
0.8810186055376638,0.0001,0.9349532710280374,accuracy,rotterdam,lr,walk,0.3,1.0,2,7,1.0,6.0
0.9014966701570839,0.0001,0.9379439252336449,accuracy,rotterdam,lr,walk,0.3,1.25,2,6,1.0,5.5
0.9108592927172969,0.0001,0.9386915887850468,accuracy,rotterdam,lr,walk,0.3,1.25,5,3,1.0,6.0
0.9673037244316998,0.0001,0.9403738317757009,accuracy,rotterdam,lr,walk,0.3,0.75,17,1,1.0,6.0
1.03348894333806,0.0001,0.942803738317757,accuracy,rotterdam,lr,walk,0.3,1.0,8,2,1,5.5
1.0461358795762505,0.0001,0.9444859813084112,accuracy,rotterdam,lr,walk,0.3,0.5,5,4,1.5,6.0
1.0960759237607807,0.0001,0.9446728971962617,accuracy,rotterdam,lr,walk,0.3,0.5,22,1,1.5,6.0
1.1084310959244021,0.0001,0.9465420560747664,accuracy,rotterdam,lr,walk,0.5,0.75,8,1,2.5,6
1.1225430179808247,0.0001,0.9471028037383178,accuracy,rotterdam,lr,walk,0.3,0.5,19,1,1.5,5.5
1.1293830872126076,0.0001,0.9472897196261683,accuracy,rotterdam,lr,walk,0.3,0.75,4,3,1.5,4.5
1.1433877101709868,0.0001,0.9493457943925233,accuracy,rotterdam,lr,walk,0.3,0.5,12,2,1.5,6.0
1.1513270571772622,0.0001,0.9508411214953271,accuracy,citbcmst,lr,walk,0.3,0.5,20,1,1.0,5.5
1.2051458300611517,0.0001,0.9508411214953271,accuracy,rotterdam,lr,walk,0.3,1.0,11,2,1,5.5
1.2141470406354324,0.0001,0.9519626168224299,accuracy,rotterdam,lr,walk,0.3,1.5,7,2,1,4.5
1.2320150636337004,0.0001,0.9521495327102804,accuracy,rotterdam,lr,walk,0.3,0.5,23,1,1.5,5.5
1.233258005244081,0.0001,0.9534579439252336,accuracy,rotterdam,lr,walk,0.3,1.5,28,1,0.5,6
1.2551657176958126,0.0001,0.9538317757009346,accuracy,citbcmst,lr,walk,0.3,0.75,29,1,0.5,6
1.2784634712813414,0.0001,0.9542056074766355,accuracy,rotterdam,lr,walk,0.3,1.25,5,4,1.0,5.0
1.2944325926970328,0.0001,0.9542056074766355,accuracy,rotterdam,lr,walk,0.5,1.0,11,1,1.5,6.0
1.3075211449746202,0.0001,0.9545794392523365,accuracy,rotterdam,lr,walk,0.3,0.5,26,1,1.5,5.5
1.3094925720883506,0.0001,0.9586915887850467,accuracy,citbcmst,lr,walk,0.3,1.25,21,1,0.5,5.0
1.3965911675938893,0.0001,0.9592523364485981,accuracy,rotterdam,lr,walk,0.3,0.75,24,1,1.0,5.0
1.403993320209885,0.0001,0.959626168224299,accuracy,citbcmst,lr,walk,0.3,1.0,19,1,0.5,4.5
1.4387220303934374,0.0001,0.9614953271028037,accuracy,rotterdam,lr,walk,0.3,1.25,4,5,1.0,4.5
1.4589103276839044,0.0001,0.9622429906542056,accuracy,citbcmst,lr,walk,0.5,1.5,2,7,0.5,6
1.505623240022571,0.0001,0.9654205607476636,accuracy,rotterdam,lr,walk,0.3,0.75,14,2,1,5.0
1.5715105888267995,0.0001,0.9661682242990655,accuracy,citbcmst,lr,walk,0.3,0.75,12,2,0.5,4.5
1.606692102507857,0.0001,0.9691588785046729,accuracy,citbcmst,lr,walk,0.5,0.75,17,1,1.0,6.0
1.6585367725906364,0.0001,0.9719626168224299,accuracy,citbcmst,lr,walk,0.5,0.5,3,5,1.5,5.5
1.742466531742246,0.0001,0.9742056074766355,accuracy,citbcmst,lr,walk,0.5,1.5,10,2,0.5,6
1.8166882709262584,0.0001,0.9745794392523365,accuracy,citbcmst,lr,walk,0.5,0.75,2,9,1.0,5.5
1.8659299853493434,0.0001,0.976822429906542,accuracy,citbcmst,lr,walk,0.5,1.25,19,1,0.5,5.5
1.9145586840718987,0.0001,0.9771962616822429,accuracy,citbcmst,lr,walk,0.5,0.5,2,10,1.0,5.5
1.987582644538291,0.0001,0.9779439252336448,accuracy,citbcmst,lr,walk,0.5,1.0,26,1,0.5,6
2.0260020710750943,0.0001,0.9788785046728972,accuracy,citbcmst,lr,walk,0.5,1.0,27,1,0.5,6
2.070135789327334,0.0001,0.9798130841121495,accuracy,citbcmst,lr,walk,0.5,1.5,3,5,0.5,4.5
2.0719599078029836,0.0001,0.9803738317757009,accuracy,citbcmst,lr,walk,0.5,1.25,19,1,0.5,5.0
2.098737158595101,0.0001,0.982803738317757,accuracy,citbcmst,lr,walk,0.5,1.25,12,2,0.5,5.5
2.307836211664921,0.0001,0.9837383177570094,accuracy,citbcmst,lr,walk,0.7,0.5,5,3,1.5,5.5
2.3719797161623206,0.0001,0.9842990654205608,accuracy,citbcmst,lr,walk,0.7,1.25,19,1,0.5,6.0
2.385718598903299,0.0001,0.9861682242990654,accuracy,citbcmst,lr,walk,0.7,1.5,8,2,0.5,5.5
2.5590776793888814,0.0001,0.9861682242990654,accuracy,citbcmst,lr,walk,0.7,1.25,22,1,0.5,6.0
2.607046037388354,0.0001,0.9863551401869158,accuracy,citbcmst,lr,walk,0.7,1.25,19,1,0.5,5.5
2.647138193218967,0.0001,0.9869158878504672,accuracy,citbcmst,lr,walk,0.7,0.5,4,4,1.5,5.0
2.735197006007329,0.0001,0.9872897196261682,accuracy,citbcmst,lr,walk,0.7,1.0,25,1,0.5,6
2.7759078461635696,0.0001,0.9876635514018691,accuracy,citbcmst,lr,walk,0.9,1.0,11,1,1,5.0
2.7803578151750115,0.0001,0.9885981308411215,accuracy,citbcmst,lr,walk,0.9,0.75,8,2,1,6
2.944077791261778,0.0001,0.9889719626168224,accuracy,citbcmst,lr,walk,0.7,0.5,12,2,1,5.5
2.956090056023008,0.0001,0.9895327102803738,accuracy,citbcmst,lr,walk,0.7,1.0,29,1,0.5,6
2.9593465329722286,0.0001,0.9910280373831776,accuracy,citbcmst,lr,walk,0.9,0.75,9,2,1,6
3.338589345794791,0.0001,0.991588785046729,accuracy,citbcmst,lr,walk,0.7,1.5,4,5,0.5,4.5
3.603234509151622,0.0001,0.9919626168224299,accuracy,citbcmst,lr,walk,0.7,0.75,18,1,1.0,4.0
3.6198483970920146,0.0001,0.9925233644859813,accuracy,citbcmst,lr,walk,0.9,1.5,11,2,0.5,5.5
4.003980527287198,0.0001,0.9925233644859813,accuracy,citbcmst,lr,walk,0.7,1.5,11,2,0.5,4.0
4.135658576662292,0.0001,0.9928971962616823,accuracy,citbcmst,lr,walk,0.7,1.5,15,2,0.5,4.5
4.2859632052032435,0.0001,0.9930841121495327,accuracy,citbcmst,lr,walk,0.9,0.5,10,2,1.5,4.5
4.722975425707365,0.0001,0.9938317757009346,accuracy,citbcmst,lr,walk,0.7,1.25,15,2,0.5,4.0
5.30102737406871,0.0001,0.9942056074766356,accuracy,citbcmst,lr,walk,0.7,1.25,28,1,0.5,3.5
6.383454500895596,0.0001,0.9945794392523365,accuracy,citbcmst,lr,walk,0.9,0.75,18,1,1.0,3.0
6.7705290560602585,0.0001,0.994766355140187,accuracy,citbcmst,lr,walk,0.9,0.5,10,2,2,3
9.299225285021413,0.0001,0.9949532710280374,accuracy,citbcmst,lr,walk,0.9,1.0,24,1,1,2.5
10.169190959013921,0.0001,0.9951401869158879,accuracy,citbcmst,lr,walk,0.9,0.75,28,1,1.5,2.5
10.359735046480335,0.0001,0.9951401869158879,accuracy,citbcmst,lr,walk,0.7,1.0,28,1,1.0,2
10.5879226491276,0.0001,0.9957009345794392,accuracy,citbcmst,lr,walk,0.9,0.5,15,2,2,2.5
20.08977207715849,0.0001,0.9958878504672897,accuracy,citbcmst,lr,walk,0.9,0.5,10,3,2,1.5
0.14439526368955674,0.00025,0.8904672897196262,accuracy,rotterdam,lr,walk,0.1,0.75,1,1,0.5,6.0
0.15086812404144948,0.00025,0.8910280373831776,accuracy,rotterdam,lr,walk,0.1,0.5,1,1,0.5,5.0
0.1550155331839195,0.00025,0.8957009345794392,accuracy,rotterdam,lr,walk,0.1,0.5,2,1,0.5,6.0
0.157220022779662,0.00025,0.8958878504672897,accuracy,rotterdam,lr,walk,0.1,1.0,1,1,0.5,4.5
0.167961253887705,0.00025,0.8962616822429906,accuracy,rotterdam,lr,walk,0.1,0.5,1,2,0.5,5.0
0.170383627531735,0.00025,0.8962616822429906,accuracy,rotterdam,lr,walk,0.1,0.75,1,1,0.5,4.0
0.17344982701582015,0.00025,0.8964485981308411,accuracy,rotterdam,lr,walk,0.1,0.5,1,3,0.5,5.5
0.17625607217264502,0.00025,0.8977570093457944,accuracy,rotterdam,lr,walk,0.1,0.5,1,4,0.5,6.0
0.19749661116137057,0.00025,0.8981308411214953,accuracy,rotterdam,lr,walk,0.1,0.5,3,2,0.5,6.0
0.26806743707654884,0.00025,0.8983177570093458,accuracy,rotterdam,lr,walk,0.1,0.5,2,3,0.5,4.5
0.31456367301147625,0.00025,0.8996261682242991,accuracy,rotterdam,lr,walk,0.1,0.5,3,6,0.5,6.0
0.3541045736042939,0.00025,0.9005607476635514,accuracy,rotterdam,lr,walk,0.1,0.5,15,1,0.5,5.0
0.37437283710879243,0.00025,0.9009345794392524,accuracy,rotterdam,lr,walk,0.1,0.75,13,1,0.5,4.5
0.3991883823540904,0.00025,0.9013084112149533,accuracy,rotterdam,lr,walk,0.1,0.75,3,5,0.5,4.5
0.4259264046176199,0.00025,0.9029906542056074,accuracy,rotterdam,lr,walk,0.1,0.5,14,2,0.5,5.5
0.4399831774671634,0.00025,0.9057943925233645,accuracy,rotterdam,lr,walk,0.1,0.5,24,1,0.5,5.0
0.45757034758908055,0.00025,0.9082242990654206,accuracy,rotterdam,lr,walk,0.1,1.0,5,3,0.5,4.0
0.47086586391846263,0.00025,0.908785046728972,accuracy,rotterdam,lr,walk,0.1,1.0,2,8,0.5,4.0
0.5205735883748946,0.00025,0.9089719626168224,accuracy,rotterdam,lr,walk,0.1,1.0,20,1,0.5,4.0
0.5492611157210262,0.00025,0.9114018691588784,accuracy,rotterdam,lr,walk,0.1,0.5,10,3,0.5,4.5
0.6012797741911406,0.00025,0.9117757009345794,accuracy,rotterdam,lr,walk,0.3,1.25,1,7,1.0,6.0
0.6086150860487056,0.00025,0.9147663551401869,accuracy,rotterdam,lr,walk,0.1,0.5,5,4,1.0,3.5
0.6350888387249953,0.00025,0.9170093457943925,accuracy,rotterdam,lr,walk,0.1,1.5,22,1,0.5,3.5
0.6627398685602017,0.00025,0.9173831775700935,accuracy,rotterdam,lr,walk,0.3,0.5,1,7,2.5,5.5
0.6762058324696829,0.00025,0.9194392523364486,accuracy,rotterdam,lr,walk,0.3,0.5,3,3,1.5,6.0
0.704964729881173,0.00025,0.922429906542056,accuracy,rotterdam,lr,walk,0.3,0.75,2,4,2.0,5.5
0.7106500521626038,0.00025,0.9237383177570093,accuracy,rotterdam,lr,walk,0.3,1.0,5,2,1.0,6.0
0.7327685666594053,0.00025,0.9239252336448598,accuracy,rotterdam,lr,walk,0.1,1.5,10,2,0.5,3
